Date,Percentages of cases in the State child support caseload with support orders (%),Percentages of Current Support Paid (%),Percentages of child support cases in arrears for which a payment is received (%)
06/30/2025,85.25,64.16,62.62
05/31/2025,85.19,64.83,61.55
04/30/2025,85.26,64.37,59.19
03/31/2025,85.46,64.37,56.58
02/28/2025,85.46,64.9,54.13
01/31/2025,85.41,66.01,50.64
12/31/2024,85.63,67,46.67
11/30/2024,85.64,65.54,40.33
10/31/2024,85.72,67.53,34.24
09/30/2024,86.17,64.41,65.95
08/31/2024,86.29,60.56,65.61
07/31/2024,85.95,60.64,64.2
06/30/2024,85.8,60.88,63.36
05/31/2024,85.87,61.1,61.75
04/30/2024,86.04,61.42,60.06
03/31/2024,85.99,62.03,57.93
02/29/2024,86.08,61.18,53.14
01/31/2024,86.25,61.7,50.38
12/31/2023,86.31,63.17,46.73
11/30/2023,86.28,61.76,39.59
10/31/2023,86.04,61.09,29.62
09/30/2023,86.83,62.61,67.26
08/31/2023,86.23,62.5,66.08
07/31/2023,86.24,62.48,64.39
06/30/2023,85.97,62.85,62.8
05/31/2023,85.64,62.26,60.75
04/30/2023,85.71,62.06,58.47
03/31/2023,86.26,62.31,54.49
02/28/2023,86.51,62.15,50.7
01/31/2023,86.58,63.36,49.18
12/31/2022,86.7,65.19,44.68
11/30/2022,86.77,63.03,37.58
10/31/2022,86.82,62.94,30.47
09/30/2022,86.86,69.82,69.59
08/31/2022,86.7,67.07,68.44
07/31/2022,86.63,66.63,66.34
06/30/2022,86.76,66.5,68.56
05/31/2022,86.8,65.62,64.3
04/30/2022,86.74,65.22,61.5
03/31/2022,86.54,65.23,58.46
02/28/2022,86.59,63.72,54.81
01/31/2022,86.53,64.83,52.36
12/31/2021,86.5,64.01,47.37
11/30/2021,86.44,64.33,41.82
10/31/2021,86.24,52,33.99
09/30/2021,86.48,68.7,73.16
08/31/2021,86.38,68.84,72.43
07/31/2021,86.36,68.94,71.23
06/30/2021,86.41,69.11,69.96
05/31/2021,85.93,69.06,68.34
04/30/2021,85.49,68.93,66.11
03/31/2021,85.16,68.8,63.44
02/28/2021,85.2,68.41,59.89
01/31/2021,85.44,68.59,57.69
12/31/2020,85.38,69.06,53.33
11/30/2020,85.55,67.96,45.61
10/31/2020,85.56,68.35,36.04
09/30/2020,85.91,68.85,76.62
08/31/2020,85.83,68.63,75.98
07/31/2020,86.06,68.52,74.73
06/30/2020,86.48,68.15,71.51
05/31/2020,86.55,68.28,65.95
04/30/2020,86.24,68.53,64.69
03/31/2020,86.42,68.96,62.43
02/28/2020,86.46,68.3,60.04
01/31/2020,86.5,69.14,56.96
12/31/2019,86.5,69.18,52.96
11/30/2019,86.35,68.28,44.76
10/31/2019,86.53,69.38,38.24
09/30/2019,86.76,68.9,70.56
08/31/2019,86.05,68.91,69.83
07/31/2019,85.14,69,68.94
06/30/2019,84.02,68.99,67.84
05/31/2019,83.19,68.79,66.16
04/30/2019,83.02,68.67,64.2
03/31/2019,82.81,68.6,61.27
02/28/2019,83.12,68.14,57.64
01/31/2019,83.24,68.51,55.23
12/31/2018,83.39,68.54,51.24
11/30/2018,83.33,68.7,44.53
10/31/2018,83.42,69.02,35.61
09/30/2018,83.62,68.73,70.19
08/31/2018,83.55,68.77,69.4
07/31/2018,84.62,68.72,68.24
06/30/2018,85.09,68.53,66.8
05/31/2018,85.36,68.53,65.23
04/30/2018,85.39,68.23,63.11
03/31/2018,85.13,68.07,59.15
02/28/2018,84.99,67.75,56.26
01/31/2018,85.03,68.24,54.13
12/31/2017,85.3,67.7,47.27
11/30/2017,85.54,67.65,42.48
10/31/2017,85.71,67.08,34.09
09/30/2017,86.03,69.01,72.19
08/31/2017,85.68,68.95,70.19
07/31/2017,85.86,68.83,69.15
06/30/2017,85.85,68.85,67.94
05/31/2017,86.05,68.74,66.37
04/30/2017,86.07,68.76,64.47
03/31/2017,86.09,68.72,61.65
02/28/2017,86.13,68.36,58.45
01/31/2017,85.55,68.85,56.12
12/31/2016,84.74,68.73,50.41
11/30/2016,84.69,68.47,44.75
10/31/2016,87.78,67.36,35.95
09/30/2016,84.85,68.96,70.41
08/31/2016,84.66,69.05,69.92
07/31/2016,84.8,69.05,69.03
06/30/2016,84.58,68.98,67.83
05/31/2016,84.43,68.73,66.18
04/30/2016,84.18,68.65,64.32
03/31/2016,84.09,68.7,61.88
02/29/2016,84.09,68.28,57.99
01/31/2016,84.01,68.54,55.76
12/31/2015,83.79,69.11,51.7
11/30/2015,84.04,66.93,44.56
10/31/2015,84.3,68.03,34.92
09/30/2015,84.55,68.55,69.61
08/31/2015,84.33,68.51,68.84
07/31/2015,84.49,68.58,67.77
06/30/2015,84.27,68.56,66.6
05/31/2015,84.46,68.51,65.08
04/30/2015,84.5,68.24,62.87
03/31/2015,84.7,68.06,60.16
02/28/2015,84.68,67.33,55.5
01/31/2015,84.77,67.72,52.92
12/31/2014,84.87,68.13,49.84
11/30/2014,84.81,67.78,43.21
10/31/2014,84.89,68.16,35.59
09/30/2014,85.21,67.75,69.3
08/31/2014,84.55,67.6,68.12
07/31/2014,84.63,67.79,67.18
06/30/2014,84.5,67.82,66.07
05/31/2014,84.47,67.61,63.99
04/30/2014,84.65,67.63,62.24
03/31/2014,84.8,67.21,58.03
02/28/2014,84.75,67.23,55.55
01/31/2014,84.79,67.83,53.22
12/31/2013,84.87,68.14,49.45
11/30/2013,84.75,67.03,42.44
10/31/2013,84.78,68.24,35.61
09/30/2013,85.06,66.78,67.65
08/31/2013,83.6,66.59,67.12
07/31/2013,83.47,66.48,66.15
06/30/2013,83.32,66.49,65.25
05/31/2013,83.22,66.06,63.24
04/30/2013,83.23,65.87,61.27
03/31/2013,83.31,66.02,59.34
02/28/2013,83.23,65.08,53.65
01/31/2013,83.22,65.45,51.09
12/31/2012,83.24,64.84,45.3
11/30/2012,83.78,64.92,40.59
10/31/2012,83.28,63.95,31.64
09/30/2012,83.41,65.68,64.05
08/31/2012,83.11,66.04,62.82
07/31/2012,82.73,66.05,61.67
06/30/2012,83.52,65.94,60.19
05/31/2012,83.29,66.02,58.59
04/30/2012,83.05,65.62,56.39
03/31/2012,82.82,65.77,54.06
02/29/2012,82.69,65.31,50.88
01/31/2012,82.54,65.96,48.22
12/31/2011,82.62,65.74,42.93
11/30/2011,82.6,63.45,38.24
10/31/2011,82.71,64.17,28.14
