Year,"Census, 1970","Census, 1980","Census, 1990","Census, 2000","Census, 2010","Projection, 2015","Projection, 2020","Projection, 2025","Projection, 2030","Projection, 2035","Projection, 2040"
MARYLAND,3923897,4216933,4780753,5296486,5773552,6010150,6224550,6429750,6612200,6762300,6889700
Allegany County,84044,80548,74946,74930,75087,74650,75150,75900,76650,76900,77050
Anne Arundel County,298042,370775,427239,489656,537656,559600,580000,593600,606700,618200,628050
Baltimore City,905787,786741,736014,651154,620961,625000,634100,644000,651100,655650,659100
Baltimore County,620409,655615,692134,754292,805029,832050,847000,857000,862200,869500,880750
Calvert County,20682,34638,51372,74563,88737,91650,95600,98350,100200,101050,101450
Caroline County,19781,23143,27035,29772,33066,33900,36050,38250,40450,42750,44950
Carroll County,69006,96356,123372,150897,167134,168550,175900,179450,183250,186200,189550
Cecil County,53291,60430,71347,85951,101108,103600,108600,117300,125250,132900,139650
Charles County,47678,72751,101154,120546,146551,157100,174350,190650,202150,212300,220850
Dorchester County,29405,30623,30236,30674,32618,33250,34800,36550,37850,39100,40000
Frederick County,84927,114792,150208,195277,233385,245600,265650,285950,304050,319800,334100
Garrett County,21476,26490,28138,29846,30097,30100,30600,31200,31550,31700,31750
Harford County,115378,145930,182132,218590,244826,252000,258650,265100,273150,281050,291100
Howard County,62394,118572,187328,247842,287085,309050,332250,346500,357100,363500,366350
Kent County,16146,16695,17842,19197,20197,20600,21400,22100,22600,23050,23500
Montgomery County,522809,579053,757027,873341,971777,1036000,1067000,1110000,1153900,1186600,1206800
Prince George's County,661719,665071,728553,801515,863420,900350,914500,929650,944550,957650,967850
Queen Anne's County,18422,25508,33953,40563,47798,50150,53600,57350,60350,63150,65750
Somerset County,18924,19188,23440,24747,26470,26900,27750,28500,28950,29350,29550
St. Mary's County,47388,59895,75974,86211,105151,113900,125150,137200,148750,156150,163350
Talbot County,23682,25604,30549,33812,37782,39100,40850,42050,42900,43550,44000
Washington County,103829,113086,121393,131923,147430,151200,160300,169950,178900,186600,193450
Wicomico County,54236,64540,74339,84644,98733,102950,109200,114400,119200,123650,127650
Worcester County,24442,30889,35028,46543,51454,52900,56100,58750,60450,61950,63100
Source,,,,,,,,,,,
Date Created,,,,,,,,,,,
