Date created,Reporting period start date,Reporting period end data,Year,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
"september 2, 2025",01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,2013,51880,33017,56776,39910,50262,52699,38922,51272,40384,49520,38609,51036,36014,48378,67183,47548,72296,41436,52996,27472,49188,59495,38715,35215,47114
"september 2, 2025",01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,2014,53084,34736,58365,41963,51577,54038,39963,53025,41083,50157,39505,52328,38717,50033,68133,49822,73009,41859,54706,28917,50355,61431,40049,37096,48659
"september 2, 2025",01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,2015,55041,35730,60207,43898,53029,56469,40828,55190,42619,51734,40619,53747,39381,51588,69530,51640,76987,42714,56402,30064,52185,63704,41130,38461,52995
"september 2, 2025",01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,56614,37532,61667,45271,53894,57748,41882,56627,43736,52977,41147,55841,40443,53250,71002,53104,80230,43585,59393,29536,53238,65325,42077,38472,52640
"september 2, 2025",01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,58251,38590,63346,46787,55677,59271,43893,58636,45066,54091,42828,57705,41222,55087,73049,55942,82175,44600,61992,30815,54151,66408,42968,39691,54627
"september 2, 2025",01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,59919,40117,65309,49059,57505,60978,44792,59744,47039,54897,44032,59773,43570,56658,74479,58110,83790,45909,63612,30871,56222,68562,44614,40087,55311
"september 2, 2025",01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,61725,41527,67527,49861,60605,63356,46204,61819,48889,56347,46006,61878,45834,58965,77343,58929,84805,47116,67826,31310,58400,73957,45840,40228,56374
"september 2, 2025",01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,2020,64884,45223,72136,53960,63856,66855,47923,64867,52230,59939,49229,64789,49023,62309,81185,63125,85530,50906,70505,32926,61911,78501,49031,43350,59450
"september 2, 2025",01/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,2021,69081,47462,77764,58764,67143,68843,54180,69623,55614,62048,55579,69770,53377,66466,86486,69328,90696,53353,77455,36982,64999,84902,53079,46638,64317
"september 2, 2025",01/01/2022 12:00:00 AM,12/31/2022 12:00:00 AM,2022,71340,46913,79335,60799,70461,71427,56902,70695,56261,63063,55896,71670,53861,67325,90055,72498,94474,54605,79258,40018,66497,91670,53502,47904,66552
"september 2, 2025",01/01/2023 12:00:00 AM,12/31/2023 12:00:00 AM,2023,75391,49182,84019,64357,74738,76018,56447,74895,59373,66642,57060,76664,57525,71196,95529,77025,100044,57096,83650,37345,70353,98166,56174,48596,68163
